House_Rep_Name,House_Rep_Party,House_Rep_State,House_Rep_Vote
Adams,D,NC,Yea
Aderholt,R,AL,Yea
Aguilar,D,CA,Yea
Alford,R,MO,Yea
Allen,R,GA,Yea
Amo,D,RI,Yea
Amodei (NV),R,NV,Yea
Ansari,D,AZ,Yea
Arrington,R,TX,Yea
Auchincloss,D,MA,Yea
Babin,R,TX,Yea
Bacon,R,NE,Yea
Baird,R,IN,Yea
Balderson,R,OH,Yea
Balint,D,VT,Yea
Barr,R,KY,Yea
Barragán,D,CA,Yea
Barrett,R,MI,Yea
Baumgartner,R,WA,Yea
Bean (FL),R,FL,Nay
Beatty,D,OH,Yea
Begich,R,AK,Yea
Bell,D,MO,Yea
Bentz,R,OR,Yea
Bera,D,CA,Yea
Bergman,R,MI,Yea
Beyer,D,VA,Yea
Bice,R,OK,Yea
Biggs (AZ),R,AZ,Nay
Biggs (SC),R,SC,Yea
Bilirakis,R,FL,Yea
Bishop,D,GA,Yea
Boebert,R,CO,Nay
Bonamici,D,OR,Yea
Bost,R,IL,Yea
Boyle (PA),D,PA,Yea
Brecheen,R,OK,Yea
Bresnahan,R,PA,Yea
Brown,D,OH,Yea
Brownley,D,CA,Yea
Buchanan,R,FL,Not Voting
Budzinski,D,IL,Yea
Burchett,R,TN,Nay
Burlison,R,MO,Yea
Bynum,D,OR,Yea
Calvert,R,CA,Yea
Cammack,R,FL,Yea
Carbajal,D,CA,Yea
Carey,R,OH,Yea
Carson,D,IN,Yea
Carter (GA),R,GA,Yea
Carter (LA),D,LA,Yea
Carter (TX),R,TX,Yea
Casar,D,TX,Yea
Case,D,HI,Yea
Casten,D,IL,Yea
Castor (FL),D,FL,Yea
Castro (TX),D,TX,Yea
Cherfilus-McCormick,D,FL,Yea
Chu,D,CA,Yea
Ciscomani,R,AZ,Yea
Cisneros,D,CA,Yea
Clark (MA),D,MA,Yea
Clarke (NY),D,NY,Yea
Cleaver,D,MO,Yea
Cline,R,VA,Yea
Cloud,R,TX,Yea
Clyburn,D,SC,Yea
Clyde,R,GA,Nay
Cohen,D,TN,Yea
Cole,R,OK,Yea
Collins,R,GA,Yea
Comer,R,KY,Yea
Conaway,D,NJ,Yea
Connolly,D,VA,Yea
Correa,D,CA,Yea
Costa,D,CA,Yea
Courtney,D,CT,Yea
Craig,D,MN,Yea
Crane,R,AZ,Nay
Crank,R,CO,Yea
Crawford,R,AR,Yea
Crenshaw,R,TX,Yea
Crockett,D,TX,Yea
Crow,D,CO,Yea
Cuellar,D,TX,Yea
Davids (KS),D,KS,Yea
Davidson,R,OH,Yea
Davis (IL),D,IL,Yea
Davis (NC),D,NC,Yea
De La Cruz,R,TX,Yea
Dean (PA),D,PA,Yea
DeGette,D,CO,Yea
DeLauro,D,CT,Yea
DelBene,D,WA,Yea
Deluzio,D,PA,Yea
DeSaulnier,D,CA,Yea
DesJarlais,R,TN,Yea
Dexter,D,OR,Yea
Diaz-Balart,R,FL,Not Voting
Dingell,D,MI,Yea
Doggett,D,TX,Yea
Donalds,R,FL,Yea
Downing,R,MT,Yea
Dunn (FL),R,FL,Yea
Edwards,R,NC,Yea
Elfreth,D,MD,Yea
Ellzey,R,TX,Yea
Emmer,R,MN,Yea
Escobar,D,TX,Yea
Espaillat,D,NY,Yea
Estes,R,KS,Nay
Evans (CO),R,CO,Yea
Evans (PA),D,PA,Yea
Ezell,R,MS,Yea
Fallon,R,TX,Yea
Fedorchak,R,ND,Yea
Feenstra,R,IA,Yea
Fields,D,LA,Yea
Figures,D,AL,Not Voting
Finstad,R,MN,Yea
Fischbach,R,MN,Yea
Fitzgerald,R,WI,Yea
Fitzpatrick,R,PA,Yea
Fleischmann,R,TN,Yea
Fletcher,D,TX,Yea
Flood,R,NE,Yea
Fong,R,CA,Yea
Foster,D,IL,Yea
Foushee,D,NC,Yea
Foxx,R,NC,Yea
"Frankel, Lois",D,FL,Yea
"Franklin, Scott",R,FL,Yea
Friedman,D,CA,Yea
Frost,D,FL,Yea
Fry,R,SC,Yea
Fulcher,R,ID,Yea
Garamendi,D,CA,Yea
Garbarino,R,NY,Yea
Garcia (CA),D,CA,Yea
García (IL),D,IL,Yea
Garcia (TX),D,TX,Yea
Gill (TX),R,TX,Yea
Gillen,D,NY,Yea
Gimenez,R,FL,Yea
Golden (ME),D,ME,Yea
Goldman (NY),D,NY,Yea
Goldman (TX),R,TX,Yea
Gomez,D,CA,Yea
"Gonzales, Tony",R,TX,Yea
"Gonzalez, V.",D,TX,Yea
Gooden,R,TX,Not Voting
Goodlander,D,NH,Yea
Gosar,R,AZ,Yea
Gottheimer,D,NJ,Yea
Graves,R,MO,Yea
Gray,D,CA,Yea
Green (TN),R,TN,Yea
"Green, Al (TX)",D,TX,Yea
Greene (GA),R,GA,Yea
Griffith,R,VA,Yea
Grijalva,D,AZ,Not Voting
Grothman,R,WI,Nay
Guest,R,MS,Yea
Guthrie,R,KY,Yea
Hageman,R,WY,Yea
Hamadeh (AZ),R,AZ,Yea
Harder (CA),D,CA,Yea
Haridopolos,R,FL,Yea
Harrigan,R,NC,Nay
Harris (MD),R,MD,Nay
Harris (NC),R,NC,Yea
Harshbarger,R,TN,Yea
Hayes,D,CT,Yea
Hern (OK),R,OK,Yea
Higgins (LA),R,LA,Nay
Hill (AR),R,AR,Yea
Himes,D,CT,Yea
Hinson,R,IA,Yea
Horsford,D,NV,Yea
Houchin,R,IN,Yea
Houlahan,D,PA,Not Voting
Hoyer,D,MD,Yea
Hoyle (OR),D,OR,Yea
Hudson,R,NC,Yea
Huffman,D,CA,Yea
Huizenga,R,MI,Yea
Hunt,R,TX,Not Voting
Hurd (CO),R,CO,Yea
Issa,R,CA,Yea
Ivey,D,MD,Yea
Jack,R,GA,Yea
Jackson (IL),D,IL,Yea
Jackson (TX),R,TX,Yea
Jacobs,D,CA,Yea
James,R,MI,Yea
Jayapal,D,WA,Yea
Jeffries,D,NY,Yea
Johnson (GA),D,GA,Yea
Johnson (LA),R,LA,Yea
Johnson (SD),R,SD,Yea
Johnson (TX),D,TX,Yea
Jordan,R,OH,Yea
Joyce (OH),R,OH,Yea
Joyce (PA),R,PA,Yea
Kamlager-Dove,D,CA,Yea
Kaptur,D,OH,Yea
Kean,R,NJ,Yea
Keating,D,MA,Yea
Kelly (IL),D,IL,Yea
Kelly (MS),R,MS,Yea
Kelly (PA),R,PA,Yea
Kennedy (NY),D,NY,Yea
Kennedy (UT),R,UT,Yea
Khanna,D,CA,Yea
Kiggans (VA),R,VA,Yea
Kiley (CA),R,CA,Yea
Kim,R,CA,Yea
Knott,R,NC,Yea
Krishnamoorthi,D,IL,Yea
Kustoff,R,TN,Yea
LaHood,R,IL,Yea
LaLota,R,NY,Yea
LaMalfa,R,CA,Yea
Landsman,D,OH,Yea
Langworthy,R,NY,Yea
Larsen (WA),D,WA,Yea
Larson (CT),D,CT,Yea
Latimer,D,NY,Yea
Latta,R,OH,Yea
Lawler,R,NY,Yea
Lee (FL),R,FL,Yea
Lee (NV),D,NV,Yea
Lee (PA),D,PA,Yea
Leger Fernandez,D,NM,Yea
Letlow,R,LA,Not Voting
Levin,D,CA,Yea
Liccardo,D,CA,Yea
Lieu,D,CA,Yea
Lofgren,D,CA,Yea
Loudermilk,R,GA,Yea
Lucas,R,OK,Yea
Luna,R,FL,Yea
Luttrell,R,TX,Yea
Lynch,D,MA,Yea
Mace,R,SC,Yea
Mackenzie,R,PA,Yea
Magaziner,D,RI,Yea
Malliotakis,R,NY,Yea
Maloy,R,UT,Yea
Mann,R,KS,Yea
Mannion,D,NY,Yea
Massie,R,KY,Yea
Mast,R,FL,Yea
Matsui,D,CA,Yea
McBath,D,GA,Yea
McBride,D,DE,Yea
McCaul,R,TX,Yea
McClain,R,MI,Yea
McClain Delaney,D,MD,Yea
McClellan,D,VA,Yea
McClintock,R,CA,Yea
McCollum,D,MN,Yea
McCormick,R,GA,Yea
McDonald Rivet,D,MI,Yea
McDowell,R,NC,Yea
McGarvey,D,KY,Yea
McGovern,D,MA,Yea
McGuire,R,VA,Yea
McIver,D,NJ,Yea
Meeks,D,NY,Yea
Menendez,D,NJ,Yea
Meng,D,NY,Yea
Messmer,R,IN,Yea
Meuser,R,PA,Yea
Mfume,D,MD,Yea
Miller (IL),R,IL,Yea
Miller (OH),R,OH,Yea
Miller (WV),R,WV,Yea
Miller-Meeks,R,IA,Yea
Mills,R,FL,Yea
Min,D,CA,Yea
Moolenaar,R,MI,Yea
Moore (AL),R,AL,Yea
Moore (NC),R,NC,Yea
Moore (UT),R,UT,Yea
Moore (WI),D,WI,Yea
Moore (WV),R,WV,Yea
Moran,R,TX,Yea
Morelle,D,NY,Yea
Morrison,D,MN,Yea
Moskowitz,D,FL,Yea
Moulton,D,MA,Yea
Mrvan,D,IN,Yea
Mullin,D,CA,Not Voting
Murphy,R,NC,Not Voting
Nadler,D,NY,Yea
Neal,D,MA,Yea
Neguse,D,CO,Yea
Nehls,R,TX,Yea
Newhouse,R,WA,Yea
Norcross,D,NJ,Yea
Norman,R,SC,Yea
Nunn (IA),R,IA,Yea
Obernolte,R,CA,Yea
Ocasio-Cortez,D,NY,Yea
Ogles,R,TN,Yea
Olszewski,D,MD,Yea
Omar,D,MN,Yea
Onder,R,MO,Not Voting
Owens,R,UT,Yea
Pallone,D,NJ,Yea
Palmer,R,AL,Yea
Panetta,D,CA,Yea
Pappas,D,NH,Yea
Pelosi,D,CA,Yea
Perez,D,WA,Yea
Perry,R,PA,Yea
Peters,D,CA,Yea
Pettersen,D,CO,Not Voting
Pfluger,R,TX,Yea
Pingree,D,ME,Yea
Pocan,D,WI,Yea
Pou,D,NJ,Yea
Pressley,D,MA,Yea
Quigley,D,IL,Yea
Ramirez,D,IL,Yea
Randall,D,WA,Yea
Raskin,D,MD,Yea
Reschenthaler,R,PA,Yea
Riley (NY),D,NY,Yea
Rivas,D,CA,Yea
Rogers (AL),R,AL,Yea
Rogers (KY),R,KY,Yea
Rose,R,TN,Yea
Ross,D,NC,Yea
Rouzer,R,NC,Yea
Roy,R,TX,Nay
Ruiz,D,CA,Yea
Rulli,R,OH,Yea
Rutherford,R,FL,Yea
Ryan,D,NY,Yea
Salazar,R,FL,Yea
Salinas,D,OR,Yea
Sánchez,D,CA,Yea
Scalise,R,LA,Yea
Scanlon,D,PA,Yea
Schakowsky,D,IL,Yea
Schmidt,R,KS,Nay
Schneider,D,IL,Yea
Scholten,D,MI,Yea
Schrier,D,WA,Yea
Schweikert,R,AZ,Yea
Scott (VA),D,VA,Yea
"Scott, Austin",R,GA,Yea
"Scott, David",D,GA,Yea
Self,R,TX,Nay
Sessions,R,TX,Yea
Sewell,D,AL,Yea
Sherman,D,CA,Yea
Sherrill,D,NJ,Not Voting
Shreve,R,IN,Yea
Simon,D,CA,Yea
Simpson,R,ID,Yea
Smith (MO),R,MO,Yea
Smith (NE),R,NE,Yea
Smith (NJ),R,NJ,Yea
Smith (WA),D,WA,Yea
Smucker,R,PA,Yea
Sorensen,D,IL,Yea
Soto,D,FL,Yea
Spartz,R,IN,Nay
Stansbury,D,NM,Yea
Stanton,D,AZ,Yea
Stauber,R,MN,Yea
Stefanik,R,NY,Yea
Steil,R,WI,Yea
Steube,R,FL,Nay
Stevens,D,MI,Yea
Strickland,D,WA,Yea
Strong,R,AL,Yea
Stutzman,R,IN,Yea
Subramanyam,D,VA,Yea
Suozzi,D,NY,Yea
Swalwell,D,CA,Yea
Sykes,D,OH,Yea
Takano,D,CA,Yea
Taylor,R,OH,Yea
Tenney,R,NY,Yea
Thanedar,D,MI,Yea
Thompson (CA),D,CA,Yea
Thompson (MS),D,MS,Yea
Thompson (PA),R,PA,Yea
Tiffany,R,WI,Yea
Timmons,R,SC,Yea
Titus,D,NV,Not Voting
Tlaib,D,MI,Yea
Tokuda,D,HI,Yea
Tonko,D,NY,Yea
Torres (CA),D,CA,Yea
Torres (NY),D,NY,Yea
Trahan,D,MA,Yea
Tran,D,CA,Yea
Turner (OH),R,OH,Yea
Turner (TX),D,TX,Yea
Underwood,D,IL,Yea
Valadao,R,CA,Yea
Van Drew,R,NJ,Yea
Van Duyne,R,TX,Yea
Van Orden,R,WI,Not Voting
Vargas,D,CA,Yea
Vasquez,D,NM,Yea
Veasey,D,TX,Yea
Velázquez,D,NY,Yea
Vindman,D,VA,Yea
Wagner,R,MO,Yea
Walberg,R,MI,Yea
Wasserman Schultz,D,FL,Yea
Waters,D,CA,Yea
Watson Coleman,D,NJ,Yea
Weber (TX),R,TX,Yea
Webster (FL),R,FL,Yea
Westerman,R,AR,Yea
Whitesides,D,CA,Yea
Wied,R,WI,Yea
Williams (GA),D,GA,Yea
Williams (TX),R,TX,Yea
Wilson (FL),D,FL,Yea
Wilson (SC),R,SC,Yea
Wittman,R,VA,Yea
Womack,R,AR,Yea
Yakym,R,IN,Yea
Zinke,R,MT,Yea
